date,prediction,reality
0,33.52203369140625,24.020000457763672
1,36.479270935058594,38.5099983215332
2,69.34219360351562,48.70000076293945
3,22.528274536132812,33.459999084472656
4,53.492713928222656,26.010000228881836
5,91.31645202636719,114.38999938964844
6,371.79815673828125,408.9599914550781
7,33.747886657714844,38.599998474121094
8,76.73700714111328,18.350000381469727
9,98.553466796875,79.58000183105469
10,33.68223571777344,12.59000015258789
11,22.324642181396484,35.029998779296875
12,225.96804809570312,162.1300048828125
13,120.02464294433594,87.51000213623047
14,233.5626220703125,204.4499969482422
15,74.79764556884766,58.81999969482422
16,98.61878967285156,105.62999725341797
17,372.0747985839844,377.6600036621094
18,88.65946197509766,80.9800033569336
19,65.66642761230469,47.31999969482422
20,41.11345672607422,31.0
21,120.42184448242188,107.97000122070312
22,43.89657974243164,38.58000183105469
23,372.1101379394531,381.7900085449219
24,88.72782897949219,103.33999633789062
25,53.32640838623047,53.15999984741211
26,52.34814453125,53.08000183105469
27,371.81072998046875,346.9700012207031
28,372.1065673828125,302.6000061035156
29,35.509342193603516,35.209999084472656
30,38.74150085449219,34.7400016784668
31,41.92743682861328,15.170000076293945
32,21.47153091430664,15.470000267028809
33,128.48995971679688,92.37000274658203
34,98.36146545410156,101.2699966430664
35,46.9355583190918,46.529998779296875
36,372.1589050292969,611.8499755859375
37,60.55451965332031,50.93000030517578
38,120.3933334350586,106.41000366210938
39,39.78014373779297,26.940000534057617
40,53.03429412841797,37.400001525878906
41,370.8713073730469,341.239990234375
42,114.20109558105469,113.18000030517578
43,88.93062591552734,82.70999908447266
44,229.42257690429688,152.55999755859375
45,46.640174865722656,45.16999816894531
46,158.27194213867188,150.25999450683594
47,51.62774658203125,39.47999954223633
48,372.094482421875,500.82000732421875
49,23.453575134277344,3.759999990463257
50,45.82682800292969,39.40999984741211
51,76.51566314697266,79.91999816894531
52,81.30767822265625,55.540000915527344
53,125.39201354980469,196.27000427246094
54,76.56745147705078,49.869998931884766
55,372.1103515625,417.3599853515625
56,231.24850463867188,359.17999267578125
57,41.213523864746094,31.18000030517578
58,52.87545394897461,39.880001068115234
59,157.54342651367188,140.5800018310547
60,44.423614501953125,35.90999984741211
61,204.56707763671875,194.0500030517578
62,136.6537322998047,152.99000549316406
63,46.01087951660156,39.939998626708984
64,53.256126403808594,38.13999938964844
65,53.66866683959961,92.5
66,86.3760986328125,92.95999908447266
67,29.173675537109375,29.020000457763672
68,53.77271270751953,42.61000061035156
69,45.91606903076172,41.91999816894531
70,372.11029052734375,635.6300048828125
71,75.79713439941406,46.70000076293945
72,41.29521942138672,30.479999542236328
73,69.9648208618164,40.369998931884766
74,20.879512786865234,11.25
75,66.44829559326172,42.75
76,104.64922332763672,123.4000015258789
77,34.85887145996094,26.43000030517578
78,23.41472625732422,16.829999923706055
79,128.0629119873047,189.3800048828125
80,48.90406036376953,48.279998779296875
81,98.99916076660156,40.84000015258789
82,190.88839721679688,172.36000061035156
83,371.3636169433594,263.9599914550781
84,185.61508178710938,175.1699981689453
85,372.08233642578125,532.25
86,245.46786499023438,218.2100067138672
87,67.84000396728516,70.87999725341797
88,102.94174194335938,68.19999694824219
89,201.90170288085938,200.92999267578125
90,45.50046920776367,38.9900016784668
91,39.74037170410156,28.610000610351562
92,109.51856231689453,122.94000244140625
93,123.96306610107422,129.14999389648438
94,70.3586654663086,63.470001220703125
95,317.7234191894531,259.8999938964844
96,35.549781799316406,25.670000076293945
97,72.415771484375,68.19000244140625
98,246.23638916015625,250.64999389648438
99,372.1103820800781,404.20001220703125
100,71.38960266113281,75.83000183105469
101,223.8475341796875,191.8300018310547
102,372.11029052734375,529.6199951171875
