Jours/Heures;00:00;00:30;01:00;01:30;02:00;02:30;03:00;03:30;04:00;04:30;05:00;05:30;06:00;06:30;07:00;07:30;08:00;08:30;09:00;09:30;10:00;10:30;11:00;11:30;12:00;12:30;13:00;13:30;14:00;14:30;15:00;15:30;16:00;16:30;17:00;17:30;18:00;18:30;19:00;19:30;20:00;20:30;21:00;21:30;22:00;22:30;23:00;23:30
 01/01/2021;67618;66231;64984;65478;64965;63584;61871;61004;59567;58840;58075;58570;58492;58948;59297;59149;59851;59637;59219;60105;61456;62012;63072;63759;65320;66425;67761;65121;63565;62699;61830;61836;61404;61879;63135;65616;66716;67833;69854;70291;69825;68926;67563;66567;65108;66199;68086;67688
 02/01/2021;66292;64754;62383;63429;63097;61886;60522;60086;59251;59439;59000;60421;61022;62344;63610;64681;65897;66156;67252;68627;69774;70771;71064;71262;72135;71928;73214;70713;69126;68527;67240;67355;67258;67586;68444;71366;73565;74535;75910;76005;75184;73433;71928;70419;68483;70211;71911;71176
 03/01/2021;69657;67975;65751;66196;66012;64310;62994;61713;60518;60244;59917;60834;61276;62403;63724;64007;65131;65413;65918;67375;68827;70352;71028;72133;73915;72789;75379;72286;70622;69562;68285;68004;67595;68219;69338;72068;74562;75905;78180;77398;76623;74942;73398;71690;69704;70750;72524;71732
 04/01/2021;70689;69261;67728;68000;67612;66822;65388;63923;63144;63288;64261;66233;68897;72729;76103;79226;81930;82383;82497;83213;83509;83251;83539;83488;84572;83119;84626;82445;81699;80537;79749;79890;79576;79899;80449;82699;84766;85533;87068;85736;84258;81732;79397;76956;75257;75964;77798;76970
 05/01/2021;75383;71982;70095;71104;70836;69630;67990;67315;66415;66463;67481;69036;71272;75652;78981;82557;84719;85248;85380;85656;85615;85138;85099;84454;85637;84963;85648;83116;82109;80422;79805;79797;79008;79240;80532;83129;85113;86626;87970;86785;84852;82464;79944;77616;76210;76447;78501;77675
 06/01/2021;76539;73458;71484;72445;72328;71296;69458;68616;68025;68043;69088;70355;72645;76349;79495;82980;84707;86528;86422;87012;86881;86934;86524;86381;87917;87125;87735;84574;83178;81512;80837;80474;79929;79810;80637;82457;84124;85681;87239;85817;83894;81448;79552;77231;76012;76338;78645;78375
 07/01/2021;76832;74212;72500;73065;72795;71619;70184;69652;68631;68448;68418;70910;73270;76907;80595;83774;86252;86242;87168;87348;87459;87621;87860;87799;89101;87242;87914;85062;84151;83097;81941;81528;81116;81385;82562;84179;85962;87393;88653;87803;85356;83170;80518;78735;76672;77129;79105;78002
 08/01/2021;77170;74804;72656;73354;73193;71755;70453;69831;68864;69146;69700;71570;74232;77994;81831;85118;87775;88268;88111;88602;88488;88193;88252;88345;89575;87817;88860;85933;84689;84031;81606;81499;80251;80302;81288;83299;86055;86736;87634;86554;85037;82428;80237;78391;76088;76705;79141;78564
 09/01/2021;76760;74697;72425;74302;73297;71169;69444;68643;67677;66989;67380;67886;68420;69227;70478;71344;73295;74694;76150;77253;78990;78453;78304;78695;79801;78735;80639;77100;75352;74778;72135;71788;70924;71015;71145;73811;76469;77542;78942;78557;77018;75469;74040;72041;71053;72980;75205;75041
 10/01/2021;73861;72649;71028;72603;71650;70204;68670;67515;66571;65841;65445;66075;66165;66909;67855;68267;69351;70126;71369;73129;75489;75995;76243;77455;79179;78490;79757;75816;73423;72104;69626;69456;68781;68362;69276;71864;74768;77253;79478;79273;77760;76212;74909;72919;71748;73177;75022;75187
 11/01/2021;73866;73371;72254;73048;72682;71745;70286;68819;68039;68155;69076;70981;73284;77096;80397;83135;85889;86436;86953;87385;87361;86886;86529;86473;86847;86227;86825;84158;82931;81450;80110;80070;79729;79457;80300;82644;84618;86103;87787;86485;84345;81812;79804;77609;76131;77401;79390;78733
 12/01/2021;77460;74976;73152;74603;74228;72652;70870;69824;68765;68621;69357;70724;72570;76541;79607;82466;84784;84872;85463;85121;84624;84102;83648;83095;83707;83646;84280;81476;80210;78640;77435;77028;76316;76114;77188;79340;81264;82693;84076;82844;80523;77848;75810;73837;72349;72972;75168;74337
 13/01/2021;73213;70811;68792;70064;69569;68085;66215;65299;64360;64388;65077;66541;68442;71969;74740;77661;79270;81000;81071;81132;80836;80754;80145;80139;81166;81120;82048;78708;77437;75914;74696;73847;73326;72853;73529;75227;77126;78325;79817;78420;76677;73863;72203;70287;68926;69497;71723;71376
 14/01/2021;70166;67650;65971;67487;66307;64813;63122;62441;61488;61176;61153;63470;65403;68923;72261;75430;77764;77986;78895;79077;78927;79041;79155;79500;80573;79608;80869;77448;76661;75361;74166;73433;73240;73058;74284;76124;78308;79760;81291;80245;78020;74944;72830;70941;68868;69477;71568;70670
 15/01/2021;69830;66955;64848;65804;65488;64084;62603;61973;61104;61237;61783;63917;66011;69845;73667;77010;79620;80562;80547;81215;81097;80667;80749;80858;81916;80548;81987;78584;77701;76253;74352;73921;72837;73020;73906;76241;79744;81047;82491;81698;80376;77289;75339;73453;71173;72231;74771;74403
 16/01/2021;73149;70805;68634;69282;69090;67110;65520;64634;63630;63134;63105;64416;64795;66059;67118;68061;69921;71633;72902;74016;75455;75134;74925;75299;76450;75861;77795;74475;72794;71688;69713;68976;68488;68571;69112;71616;74811;76074;77650;77392;75711;73683;72007;69906;68346;69863;72227;72106
 17/01/2021;71099;67900;66114;66641;66401;64555;62869;61905;60871;60099;59426;60192;60155;60634;60995;61449;62333;62988;64022;65227;67073;67738;68125;69444;71115;70906;72362;68734;66216;64909;62985;61983;61543;61209;62251;64362;67518;69845;72219;72070;70642;68909;67686;65744;64553;65762;67818;67901
 18/01/2021;67098;66316;65038;65477;65747;64711;63333;62395;61699;61993;62697;64774;67096;70894;74142;77220;79520;80534;81101;80970;80718;80280;80159;80523;80982;80323;81124;78715;77271;75921;74882;74110;73821;73901;74897;76982;79533;80926;82663;81070;78786;75800;73787;71564;70186;71082;73175;72511
 19/01/2021;71587;69801;68090;68790;68721;67649;66040;65168;64563;64438;65254;66852;68936;72905;75935;78915;81198;81553;82109;81698;80758;80161;79703;79499;79867;79145;79528;76809;75198;73718;72561;71704;71203;71229;72364;74366;77175;78742;80198;79273;76483;73602;71565;69602;68409;69494;70639;70141
 20/01/2021;69141;67759;65841;66498;66059;65170;63481;62611;61906;61707;62456;64001;66032;69301;72006;74709;76517;77673;77653;77673;77070;76834;76348;76391;77171;76350;76954;74023;72540;71498;70086;69110;68734;68695;69426;70980;73610;74996;76331;74782;72246;69264;67419;65569;63989;65177;66545;66548
 21/01/2021;65249;63581;61904;62675;61963;60722;59387;58727;57857;57551;57671;60094;62066;65423;68689;71792;73768;74179;74766;74470;73968;73812;73936;74376;75324;74201;75351;72500;71403;70529;69048;68402;68246;68167;69301;70371;73049;74275;75638;74711;71924;69142;67031;65482;63552;64660;66162;65824
 22/01/2021;64865;62913;60817;61322;61225;59671;58401;57914;57119;57131;57765;59726;61748;65339;68625;71989;74032;74850;74735;74838;74225;73798;73620;74114;74874;73683;75277;72238;71250;69804;68117;67645;66654;66882;68116;69705;73109;74269;75402;74629;73110;70164;68192;66788;65086;65986;68035;67708
 23/01/2021;66459;64950;62830;63438;63205;61398;59855;58823;57850;57301;57360;58252;58451;59654;60656;61715;63197;64384;65564;66394;67550;67502;67332;68245;69468;68740;70764;67921;66384;65342;63347;62862;62336;62535;62768;64705;67453;69222;70917;70485;68926;67196;65846;64348;63591;64958;67127;67231
 24/01/2021;66442;64598;62868;63491;63136;62070;60543;59435;58496;58121;57900;58583;58518;59286;60070;60721;61548;62365;63769;64897;66502;67105;67546;68647;70458;69954;71453;67992;65554;64244;62085;61582;61339;60914;61952;63741;67575;70453;72629;72253;70730;69068;67752;66169;65098;66722;67790;68406
 25/01/2021;67381;66268;64694;65187;64958;64362;62957;61944;61214;61300;62289;64352;66525;70349;73674;76808;79039;79694;80200;80182;79781;79286;79290;79378;80180;79661;80531;77993;76770;75550;74237;73525;73085;73029;73940;75007;77823;79920;82083;80650;78471;75777;73461;72038;70581;71613;73777;73618
 26/01/2021;72523;71096;69296;70273;70336;69129;67610;66903;66259;66155;67301;69072;71402;75292;78677;81895;84126;84410;84965;84489;83686;82850;82478;81962;82223;82042;82545;79731;78419;77103;75847;75145;74628;74797;75650;76854;79499;81516;83611;82255;79293;76617;73886;72516;70951;71511;73442;73026
 27/01/2021;71824;70417;68463;69563;69331;67928;66080;65161;64228;64171;65018;66489;68492;71967;74571;77107;78836;79843;79875;79940;79363;79172;78652;78597;79093;78689;79323;76464;75095;74165;72277;71487;71039;70933;71234;72254;74670;76834;78653;76928;74503;71811;69609;68245;66585;67121;69393;69215
 28/01/2021;67736;65573;63837;64686;64184;62787;61116;60089;58985;58664;59019;61181;63172;66563;69816;72368;74211;73964;74258;74117;73603;73250;73109;73167;73704;72884;73585;70886;69704;68669;67074;66265;66014;65672;65962;66654;68640;70485;72479;71154;68568;66162;64102;62941;61276;61796;63925;63745
 29/01/2021;62402;60583;58521;59106;58996;57360;55925;55049;54090;54101;54952;56666;58640;62021;65467;68512;70217;70585;70783;70949;70269;69724;69606;69669;70246;69530;70739;68021;66906;65698;63960;63447;62567;61788;62664;63256;66003;67325;68700;67638;66374;64090;62286;61227;59730;60348;62740;62558
 30/01/2021;60911;59021;56960;57526;57049;55226;53743;52555;51548;51040;51193;52074;52305;53447;54347;55494;56698;57761;59382;60748;61646;61863;62092;62694;63824;63666;65223;62191;60471;59606;57855;57311;56482;56398;57144;58377;61397;63140;64904;64394;62840;61414;59494;58714;57771;58995;61220;61367
 31/01/2021;60204;58562;56788;57342;56944;55409;53884;52769;51732;51399;51228;51960;51930;52590;53442;53974;54630;55314;56955;58602;60133;60920;61505;62224;63456;63374;64515;60843;58374;56919;55454;54801;54218;54186;55546;57175;60936;64022;66405;66041;64583;63082;61400;59942;58441;60166;61490;61685
 01/02/2021;60430;57841;56367;56843;56658;55475;54070;53064;52136;52342;53454;55029;57244;60841;64089;66734;68618;69010;69394;69803;69351;69184;69108;69445;70116;69503;70424;68030;66790;65427;64586;64036;63678;63288;64100;64859;67593;69924;71835;70313;68112;65498;63444;61523;59979;60966;63054;62635
 02/02/2021;61395;59876;58085;58850;58729;57200;55723;54950;54107;54040;55116;56506;58626;62115;65374;68090;69916;69956;69978;69861;68995;68315;68187;68324;69164;68523;69509;66783;65564;64334;63086;62395;61742;61214;61803;62688;65252;67346;69423;68167;65369;63078;60860;59234;57615;58467;60532;60179
 03/02/2021;59012;56543;54806;55444;55340;53830;52116;51351;50611;50635;51536;53065;54940;58159;60984;63687;65191;66037;66160;66462;65926;65980;65638;66199;67192;66662;67867;65553;64755;64258;62548;61957;61344;60849;61105;62177;64758;67125;69181;67523;65482;62694;60578;59213;57699;58560;60373;60184
 04/02/2021;58949;58322;56822;57376;56732;55776;54096;53333;52447;52381;52994;55080;57022;60486;63655;66487;68126;67891;68420;68367;67727;67627;67165;67325;68041;67005;67786;65763;65173;64262;62866;62428;62142;61503;61950;62772;65298;67618;69867;68733;66488;63801;61644;60097;58474;59621;61304;61142
 05/02/2021;59839;59328;57443;57829;57160;56022;54716;53988;53121;53177;54075;55882;58030;61173;64446;67266;68787;68977;69365;69173;68552;68098;67665;67548;68232;66997;68071;65430;64465;62737;61813;61248;60212;59490;60608;61073;63631;65825;67571;66729;65408;62700;61003;59815;58605;59425;61427;61304
 06/02/2021;59763;58475;56509;56961;56188;54763;53402;52380;51362;50928;51023;51841;52486;53627;54322;55523;56540;57356;58994;59901;60726;60769;60740;61055;62172;61914;63343;60125;58536;56997;56190;55463;54673;54114;54686;55293;57868;60449;62465;62194;60957;59450;57672;56776;56219;57451;59375;59865
 07/02/2021;58739;56971;55024;55591;54958;53910;52519;51538;50750;50294;50191;50795;51171;51919;52724;53648;54392;55124;57086;58763;60607;61459;62185;63029;64663;64659;66073;62243;60297;58638;57567;57150;56577;56244;57098;58418;61720;65601;67960;67652;66274;64690;63374;62231;61142;62719;63965;64370
 08/02/2021;63225;62886;61025;61413;61189;60347;59067;58253;57548;57535;58759;60654;63365;66981;70306;73176;75498;75922;76949;77394;77392;77040;76866;77103;78000;76927;78106;75447;74513;73314;72191;71846;71329;70874;71486;72300;74418;77642;79825;78511;76402;73802;71727;70033;68897;69869;71573;71197
 09/02/2021;70034;68764;66789;67398;66990;65981;64628;63795;63196;63004;64062;65794;68442;72112;75345;78208;80167;80530;81322;81561;81240;80794;80571;80688;81484;80475;81549;78882;77775;77071;75615;75152;74738;73706;73955;74730;76846;79848;82055;80835;78099;75509;73376;71804;70488;71131;72980;72643
 10/02/2021;71420;69663;67760;68397;67913;66808;65389;64347;63781;63486;64414;66115;68534;71850;74795;77403;79202;80324;81220;81662;81574;81564;81199;81475;82206;81240;82146;79723;78688;78398;76115;75375;74706;74059;74270;75099;77255;80627;83079;81687;79861;77065;75218;73737;72580;73504;75633;75650
 11/02/2021;74340;73453;72017;72711;72442;71308;69891;69076;68343;68150;68908;71183;73764;77549;80787;83689;85664;85593;86684;86684;86401;85781;85193;84921;85286;83887;84362;81838;80747;80134;77752;77067;76704;76544;77164;77576;79402;82381;85124;83640;81619;79267;77096;75482;73897;75152;77109;77012
 12/02/2021;75502;73323;71597;72348;72262;70812;69330;68680;67790;67675;68530;70346;72808;76055;79477;82326;83870;84444;85178;85317;85231;84638;84222;83929;84535;83301;84301;81286;79961;79077;76911;76264;75244;74881;75879;75703;77596;80323;82285;81451;79964;77484;75820;74632;73545;74692;76960;76592
 13/02/2021;74970;73550;71540;72462;72315;70711;69251;68518;67479;66963;67007;68128;68895;69970;71179;71933;73309;74728;76524;77886;78929;78644;78542;78552;79773;79072;80154;76653;74629;74058;71643;70805;69869;69546;69894;70253;72358;75475;77666;77504;76485;74985;73577;72445;71624;72861;75116;75225
