Jours/Heures;00:00;00:30;01:00;01:30;02:00;02:30;03:00;03:30;04:00;04:30;05:00;05:30;06:00;06:30;07:00;07:30;08:00;08:30;09:00;09:30;10:00;10:30;11:00;11:30;12:00;12:30;13:00;13:30;14:00;14:30;15:00;15:30;16:00;16:30;17:00;17:30;18:00;18:30;19:00;19:30;20:00;20:30;21:00;21:30;22:00;22:30;23:00;23:30
 14/02/2021;73929;73259;71495;72275;71897;70374;68852;67849;67080;66407;66199;66700;66780;67412;67927;68455;68735;69517;71321;72853;74178;74374;74350;74445;75683;74841;75717;71504;68958;67982;65450;64697;64167;63687;64305;65021;67735;72068;74782;74652;73691;72263;71396;70215;69124;70276;72023;71979
 15/02/2021;70676;70333;68896;69725;69612;68345;66780;65804;65157;64827;65972;67610;69521;72970;75997;78796;80194;80654;81380;81688;81191;80696;80166;80085;80608;79385;80266;77497;76279;75184;73116;72321;71854;71012;71301;71527;73066;76596;79082;78090;76194;74072;72220;70462;69196;69670;71794;71126
 16/02/2021;69870;68009;66407;67290;67000;65612;64099;63365;62579;62108;63196;64610;66390;70009;73014;75586;76859;77298;77717;77779;77110;76358;75867;75752;76279;75290;76314;73262;71817;70826;69147;68301;67887;66800;67037;67467;69423;72995;75846;75052;72790;70689;68723;67115;65774;66167;68145;67519
 17/02/2021;66408;64408;62582;63536;63234;61782;60205;59475;58567;58284;59311;60571;62389;65512;68212;70475;71244;72550;73032;73308;72835;72635;72051;72351;73037;72225;73425;70274;69028;68194;65934;65047;64247;63715;63774;64554;67162;71086;74216;73534;71732;69214;67367;65479;64241;64595;66862;66601
 18/02/2021;65521;63688;61677;62715;62723;61219;59595;58884;57903;57798;58268;59811;61562;64929;68016;70213;71044;71244;71599;71437;70822;70397;69774;69855;70310;69585;70501;67664;66728;65734;64137;63524;62820;62766;62946;63638;65797;69509;72809;71962;70354;67858;65895;63856;62110;62969;65105;65022
 19/02/2021;63991;61947;59935;60723;60771;59258;57783;57170;56304;56304;57313;58565;60453;63777;66810;69187;70048;70372;70482;70323;69533;69133;68350;68205;68696;67814;69030;65654;64556;62680;61384;60701;59639;58898;59177;59787;61850;64706;67456;66807;65674;63101;61527;59920;58445;59289;61519;61377
 20/02/2021;60260;59054;56967;57424;56896;55427;53709;52852;51871;51269;51404;52103;52423;53304;53907;54109;54533;55638;56671;57391;57310;57150;56614;56777;57613;56952;58306;54726;52956;51209;49780;48993;47988;47350;47137;48288;50475;53658;57268;57124;56273;54701;53143;52154;51414;52609;54954;55611
 21/02/2021;54961;53329;51567;52075;51652;50286;48695;47751;47014;46574;46396;46908;46788;47197;47542;47413;47380;48254;49657;50755;51818;52244;52410;52683;54181;53698;54906;50977;48736;47372;46151;45729;45066;44540;44669;46104;49191;53855;57764;57371;56407;54737;53484;52283;51192;52372;54119;54621
 22/02/2021;53901;52790;51092;51746;51534;50471;48982;48278;47585;47626;48753;50518;52736;55969;58948;61100;62084;62598;63011;63244;62784;62459;62213;62428;63371;62559;63705;61065;60425;59200;58169;57846;57462;56667;56446;57410;59496;63148;66682;65679;63568;60833;58895;56974;55387;56320;58148;58143
 23/02/2021;57439;55603;53581;54355;54111;52812;51434;50824;50128;49869;50779;52483;54578;57842;61037;62937;63819;64256;64133;63870;63097;62380;61877;61911;62625;61950;63009;60261;59588;58396;57518;56763;56142;55136;54752;55726;57220;60230;64129;63296;61317;58830;57056;55513;54073;54902;56897;56997
 24/02/2021;56125;53865;51992;52768;52458;51234;49957;49223;48422;48325;49399;50918;52832;55710;58351;59938;60876;61931;61929;61802;60999;60478;59643;59659;60351;59675;60775;57962;57396;56309;54834;54172;53576;52939;52596;53359;55094;58203;62224;61852;59655;56975;55179;53660;52621;53427;55439;55758
 25/02/2021;54909;53352;51621;52206;51917;50978;49659;48937;48223;48172;49184;50837;52968;56049;58745;60674;61951;62520;62862;62779;62309;61753;61357;61298;62092;61174;62132;59878;59023;58089;56432;55701;55132;54620;54634;55125;56710;59953;64280;64095;61786;59338;57325;55793;54474;55427;57405;57715
 26/02/2021;56502;54529;52742;53286;53294;52077;50688;50108;49542;49666;50828;52356;54672;57434;60104;62156;63452;64242;64647;64648;64345;64035;63754;63605;64687;63726;65041;62295;61087;60157;58625;57971;57090;56410;56553;57338;58960;61716;65637;65471;63823;61263;59451;58053;56757;57843;60010;60129
 27/02/2021;58921;57151;55036;55867;55513;54157;52610;51821;51057;50552;50766;51556;52416;53141;53785;54022;54862;56454;57613;58665;59021;58849;58651;58834;59965;59293;60728;57186;55566;54446;52576;51697;50737;50015;49958;50853;53021;55952;60621;61081;59952;58328;56806;55867;54837;56430;58613;59376
 28/02/2021;58146;56797;54897;55659;55391;54104;52800;51792;51131;50385;50400;51054;51299;51555;52131;51824;52053;53438;54608;55720;56964;56961;57017;56997;58124;57399;58358;54273;52221;51014;49077;48075;47034;46432;47032;48275;51112;55068;59819;60114;59010;57571;56488;55525;54505;55848;57836;58265
 01/03/2021;57232;56955;55434;56220;56134;55125;53930;53226;52574;52740;53915;55977;58307;61362;64297;66191;67574;68410;68600;68476;67764;66776;66060;65472;65811;64559;65349;62503;61401;60652;58605;57686;56829;56144;55922;56469;57847;60998;65583;65965;63619;61480;59953;58624;57435;58611;60672;60649
 02/03/2021;59377;57936;56446;57073;56980;55910;54545;53962;53308;53105;54027;56090;58370;61524;64412;66335;67377;68179;68051;67485;66462;65317;64575;63906;64228;63102;63963;61274;60005;59917;57834;56821;56366;55327;55297;55605;57179;59827;64878;65071;62794;60689;58815;57431;56252;57210;58928;58948
 03/03/2021;57635;56277;54734;55330;55134;54097;52493;51815;51046;50862;51882;53963;55909;58815;61478;63048;63960;65336;65401;65067;64239;63642;62854;62351;62978;62186;63339;60513;59558;59477;57087;56219;55708;54963;54833;55245;56999;59788;64799;64703;62618;60238;58343;56514;55653;56549;58325;58291
 04/03/2021;57074;55911;54071;54738;54500;53455;51915;51140;50240;50283;51023;52986;54879;58261;61062;62768;64041;64818;65106;65044;64563;64431;64108;63764;64486;63867;65037;62677;61703;61036;59229;58335;57883;57271;57005;57518;59025;61636;66216;66366;64278;62065;60171;58806;57346;58441;60228;60079
 05/03/2021;58784;57536;55322;55843;55924;54492;53193;52364;51526;51719;52387;54364;56568;59833;62792;64733;66238;67208;67788;67793;67472;67380;66844;66676;67300;66506;67846;64782;63541;62294;60718;59567;58683;58084;58340;59065;60722;63021;67114;67759;66265;64213;62636;61625;60223;61130;63415;63354
 06/03/2021;62097;59963;57756;58293;58044;56529;55067;54209;53278;53039;53138;54427;55275;56664;57640;57971;59173;60799;61926;62798;62503;61856;61337;61029;61931;61259;62674;58851;57070;55995;54630;53506;52768;52268;52478;53509;55572;57797;62914;63963;62940;61585;60017;59004;58175;59393;61665;62200
 07/03/2021;60954;59588;57721;58176;57786;56548;55202;54087;53340;52888;52966;53747;54015;54971;55711;55510;56236;57650;58905;60031;60566;60630;60489;60326;61500;61021;62253;58249;56114;54712;53165;52047;51506;50892;51634;52844;55617;58651;64196;64615;63549;61870;60611;59598;58674;59630;61738;62019
 08/03/2021;60889;59661;58094;58639;58442;57758;56499;55735;54898;55291;56604;58540;60874;64271;67289;69315;70972;72170;72694;72722;71880;71227;70554;70151;70814;70005;70931;68018;66728;64895;63668;62698;62248;61700;61867;62630;64202;66728;71808;72578;70106;67343;65630;64352;62931;63934;66177;66256
 09/03/2021;64884;62705;61102;61650;61628;60543;59302;58579;57870;57677;58960;60635;63188;66569;69309;71297;72616;73657;73744;73261;72256;71323;70645;70041;70695;69842;70823;67722;66637;65098;63740;62679;62033;61303;61229;61682;62943;65364;70323;71240;68858;66531;64780;63642;62144;63103;65329;65645
 10/03/2021;64238;62245;60635;61169;61098;59991;58754;57788;57082;56777;58182;59940;62268;65388;68115;69636;70963;72192;72358;72012;71178;70490;69605;69260;69625;68758;69833;66360;65194;63565;62057;61004;60141;59897;60001;60485;61944;64390;69518;69895;67869;65304;63270;61676;60326;61101;62962;63030
 11/03/2021;61524;60284;58375;58648;58491;57262;55637;54736;53734;53394;54207;55910;57668;60893;63640;65133;66269;67084;66939;66679;65878;65152;64804;64475;64988;64227;65454;62440;61334;59691;58777;57976;57447;57253;57291;57724;59144;61034;66582;66536;64651;62095;60006;58562;57328;58193;60035;60268
 12/03/2021;59007;56711;54795;55332;55223;53993;52677;51966;51369;51450;52331;54062;56097;59459;62372;64061;65320;66186;66429;66077;65249;64785;63984;63670;64035;63322;64807;61539;60413;58673;57849;56933;56458;55867;56152;56791;58387;60355;64971;65800;64127;61508;59786;58542;57427;58241;60351;60363
 13/03/2021;58908;57611;55556;56020;55360;54195;52536;51645;50583;50169;50338;51046;51679;52962;53922;53984;55039;56268;57174;58049;57632;57186;56625;56625;57792;57402;58934;55221;53758;52451;51598;50949;50583;50255;50401;51277;53022;55410;60316;61967;60781;58683;57176;55790;54795;56033;58210;58677
 14/03/2021;57532;55629;53790;54447;54222;52680;51191;50292;49356;48762;48784;49469;49911;50861;51503;51144;51841;52857;53804;54728;55164;55236;55221;55112;56703;56300;57432;53727;51943;50747;49708;48825;48336;47653;48453;49669;52285;55574;60432;62029;60989;59188;57959;56422;55230;56128;58326;58539
 15/03/2021;57333;56675;55078;55937;55966;54565;53370;52547;51616;51939;52549;54775;57227;60595;63324;65075;66547;66991;67093;66857;66419;65652;65213;64834;66022;65120;66005;63510;62481;60990;60156;59246;58676;58058;58371;58858;60111;62333;66728;68278;66101;63250;61308;59584;58057;59305;61234;61169
 16/03/2021;60054;58454;56909;57573;57661;56230;54909;54287;53486;53608;54092;56356;58845;62123;64678;66658;68035;68634;68063;67729;67285;66320;66037;65665;66801;65744;66659;63998;63004;61954;60786;60123;59614;59119;58935;59520;60698;62688;67626;68884;66825;63907;61613;60140;58473;59614;61716;61618
 17/03/2021;60407;58941;57294;57857;57811;56364;55114;54146;53478;53455;54277;56340;58539;61740;63819;65493;67121;68323;68195;68028;67555;67251;66546;66600;67475;66606;67756;64787;63883;62660;61198;60433;59595;59011;58972;59643;61124;63671;68389;69936;68348;65529;63518;61883;60601;61740;63791;63733
 18/03/2021;62686;60190;58749;59425;59343;58387;56946;56291;55597;55627;56219;58433;60674;64030;66442;68443;70246;70932;71159;70938;70211;69402;69014;69069;69659;68529;69403;66714;65607;65059;63702;63190;62571;61893;62161;62902;64307;66167;70522;71411;69946;67358;65125;63380;62096;63071;64822;64834
 19/03/2021;63591;61590;60021;60764;60433;59333;57896;57283;56753;56698;57365;59373;61759;64927;67326;69192;70888;71411;71845;71244;70514;69733;69352;68990;69375;68094;68918;66094;64809;64134;62610;61445;60573;59606;60097;60717;62300;63938;67649;69405;68476;66183;64414;63240;62261;63462;65580;65399
 20/03/2021;64477;62684;61251;61811;61393;60344;58956;58287;57539;57270;57564;58683;59934;61302;61984;62430;63720;64652;65608;65821;65423;64464;63735;63415;64285;63459;64512;61064;59391;58354;56579;55715;54887;54313;54611;55534;57212;59150;62629;65154;64699;63007;61859;60707;59795;61452;63600;63752
 21/03/2021;62731;61683;60222;60808;60549;59136;57635;56802;55998;55321;55410;56209;56925;57547;57683;57942;58380;59572;60484;61403;61494;61433;61363;61283;62148;61614;62587;58676;56708;55370;53551;52985;52228;51265;51656;52767;54954;57975;61664;64223;63609;62075;61243;59912;58594;59943;62005;61999
 22/03/2021;60865;59152;57805;58693;58635;57363;56124;55390;54904;55147;56544;58577;61393;64806;67243;69752;71098;71913;72139;72053;70926;70198;69624;69087;69732;68626;69716;67035;65677;64354;62774;62244;61469;60612;60376;60759;61635;63607;67739;70258;68669;66350;64627;63166;61733;63016;64832;64702
 23/03/2021;63568;61323;60013;60483;60392;59266;57913;57387;56937;57018;57900;59926;62485;65844;68037;70541;71485;71672;71373;70687;69342;68194;67342;66872;67371;66329;67287;64432;62856;61913;60216;59464;58729;58126;57574;58076;58891;60674;65330;67453;66378;64326;62233;61017;59789;60876;62900;63006
 24/03/2021;61729;59504;58080;59132;59123;58012;56822;56027;55617;55716;56995;58956;61303;64507;66341;68220;69196;69620;69267;68054;66522;65661;64272;63810;64125;63088;64024;60870;59615;58243;56676;55908;55177;54493;54400;54704;56001;58033;61852;64207;63278;60913;58992;57722;56460;57571;59548;59604
 25/03/2021;58421;57083;55329;56186;56228;55099;53664;52969;52185;52289;53368;55323;57527;60723;63097;64713;66052;66198;65918;65127;63783;63099;62491;62457;63172;62102;63064;60385;59268;58075;56541;55900;55016;54195;53761;54252;55646;57185;60812;62700;62050;59837;58133;56791;55411;56572;58699;58931
 26/03/2021;57546;56356;54339;55170;55104;53823;52454;51845;51219;51323;52316;54350;56621;59404;61593;63497;64522;64520;64104;63156;61494;60601;59704;59458;59802;59143;60103;57447;56273;55059;54108;53498;52873;52064;52254;52691;54359;55837;58852;61272;60643;58103;56549;55119;53713;54948;57058;57172
 27/03/2021;55820;54196;52548;53069;52803;51332;49918;49056;48295;47911;48559;49409;50200;51036;51178;51943;52760;53545;54330;54424;54130;53509;53086;53285;54709;54541;56078;52645;50950;49597;48789;48041;47180;46747;46727;47155;48784;50712;53915;57557;57180;55423;53938;52697;51564;53131;55331;56005
 28/03/2021;54756;53454;51894;51894;52636;52636;52911;51917;49671;48483;48193;48182;48208;48430;49430;48756;48461;49260;50346;50532;51093;51038;50840;51190;52267;51679;53147;49500;46502;44062;43424;42413;41353;39946;39654;40553;42261;45067;47398;48136;48848;50911;50627;49110;48098;48748;51219;51248
 29/03/2021;50436;50273;48834;49904;49986;48041;46810;46067;45531;45877;46790;48444;50980;54630;58131;60468;61566;61977;62612;61018;59649;58821;57541;56765;57469;56358;57572;54457;52706;50362;49393;48653;48128;46957;46685;46690;47363;48426;50345;50962;51247;51942;51189;50104;48350;49671;51138;51637
 30/03/2021;50551;49423;47862;47766;47795;46995;45515;44523;43964;43695;44489;45956;48330;51952;55221;57092;58122;58695;58553;57287;56181;54735;53488;52603;52967;52160;53194;50741;50314;49737;47757;47256;46732;46144;45869;45817;46424;46888;49393;49210;48987;49294;48265;47303;46072;46647;48742;48892
