Jours/Heures;00:00;00:30;01:00;01:30;02:00;02:30;03:00;03:30;04:00;04:30;05:00;05:30;06:00;06:30;07:00;07:30;08:00;08:30;09:00;09:30;10:00;10:30;11:00;11:30;12:00;12:30;13:00;13:30;14:00;14:30;15:00;15:30;16:00;16:30;17:00;17:30;18:00;18:30;19:00;19:30;20:00;20:30;21:00;21:30;22:00;22:30;23:00;23:30
 01/01/2019;65208;62588;60553;61340;60920;58957;57056;55413;53761;52744;52298;52599;52065;52774;52464;52417;52849;52413;52471;53237;53974;55150;56334;56902;58208;59774;60832;58302;56737;56568;54449;53633;52988;52773;53660;56220;57859;59751;60956;62069;62106;61316;61321;59882;58918;60867;63193;62551
 02/01/2019;61320;59731;57326;58231;57645;56024;54630;53665;52957;53266;53637;55744;57340;61248;62766;65110;67957;68932;69661;70280;71459;71503;72513;72131;73578;73512;74669;71779;71267;71199;68763;67838;67124;66807;68566;71329;74034;75514;77246;76899;75535;72976;71012;69254;68201;69087;71648;71111
 03/01/2019;70074;67132;65169;65719;65060;63115;61688;61009;60471;60912;61396;63354;65166;68622;71550;73733;76113;77228;77867;77909;78342;79078;78680;78570;79349;78683;79561;77097;76442;77194;74146;73631;73335;73979;75743;77730;80401;81775;83467;82322;80338;78072;75673;73692;72015;72920;75534;74610
 04/01/2019;73809;71163;69255;69170;68615;67022;65378;64331;63765;63272;64441;65741;68280;69927;72841;75192;77730;78386;79082;79648;80185;80417;79493;79713;80252;78761;79586;77093;76153;76474;74042;73151;73379;73259;74867;77374;79634;80621;81437;80549;78786;76730;74699;73412;72076;71920;75168;74896
 05/01/2019;73537;72488;70441;70033;69372;67913;66061;65020;63918;63273;62966;63584;64732;65864;67226;68124;69441;70735;71226;72720;73523;74230;74074;74211;75539;74959;75646;72656;71052;70832;68811;67772;67271;68016;69237;71851;74038;74867;75396;75206;73786;72198;70742;69207;67717;69430;72493;72079
 06/01/2019;71239;69440;67458;67076;66603;64944;63046;61705;61083;59923;60137;60240;60509;61579;62226;63181;64127;65147;65392;66933;68474;69016;69354;70549;72019;72023;73141;69690;67802;67064;64901;64397;64325;64730;66050;68251;70551;72736;74078;74483;73008;71410;70519;68387;67217;68059;71015;70011
 07/01/2019;68792;68093;65740;66846;66508;64793;63296;62306;61507;61783;62677;65148;67634;72106;76104;79719;81730;82120;81980;82146;82383;81636;81611;81117;81124;79906;80561;78191;77394;77336;74828;74482;74394;74708;76518;79440;81189;82594;83697;82589;80550;77933;75757;73609;71997;72128;74790;72970
 08/01/2019;72125;70463;67814;68870;68302;66569;64874;64147;63095;63379;64249;66245;68955;72939;77076;80658;82491;82277;81917;81795;81737;81147;81004;80444;80813;79042;80192;78024;77812;77811;75426;75357;74934;74663;75527;78316;79465;80726;81964;80648;78867;76641;74437;72848;71357;71912;74374;73507
 09/01/2019;72104;68484;65763;66434;65991;64179;62701;61854;60950;61212;62110;63960;66474;69863;73876;76876;78938;79716;79861;79924;80128;80313;79873;80354;80586;79734;80961;78829;78443;78266;76013;75796;75429;75535;76555;78655;80067;81367;82818;81282;80047;77718;75891;73957;72242;72989;75538;74821
 10/01/2019;73400;70939;68442;68711;68323;66986;65095;64354;63280;63382;64571;66353;68649;72568;76312;79596;81420;81553;81495;81534;81570;81334;81378;81373;81354;80674;81610;79148;78238;78250;76189;75496;75177;75473;76829;79654;81578;82891;84344;82857;81474;78979;77415;75573;73695;74649;77243;76559
 11/01/2019;74798;73022;70740;70841;70603;69078;67251;66638;65652;65725;66748;68452;70721;75463;79177;82343;84259;84555;84501;84483;84772;84397;84318;84395;84173;83385;84063;81690;80647;79880;77963;77310;76759;76611;78076;80210;81846;83117;84153;82595;81383;79114;77443;75881;74164;75516;78302;76992
 12/01/2019;75344;72033;69662;70331;69516;67454;65566;64529;63367;63232;62878;63856;64645;66191;67398;68817;70466;71458;72787;73187;74016;73608;73322;73493;74384;74198;74966;71933;70496;69104;67438;66952;66639;66695;68098;69803;71741;73344;74694;73668;72586;70995;69249;67512;66992;67982;70771;70704
 13/01/2019;69258;67174;64814;65550;64953;62532;60472;59670;58190;57623;57071;57909;58048;58543;59020;59597;60789;61334;63121;64185;65640;66280;66787;67026;68782;68251;69860;66516;64646;63516;62048;61101;60141;60271;61288;63246;65605;67338;68907;68782;68057;66870;65313;63793;62622;63480;66243;65922
 14/01/2019;64306;61763;59660;60561;60026;58318;56758;55918;55060;55171;56085;58512;60688;64736;68492;71469;73659;74014;74058;74428;74401;74399;74461;74718;75334;74344;75868;73549;72831;72454;70831;70274;69583;69662;70652;72897;75475;76948;78288;77435;75566;73414;70930;69083;67583;68384;70999;69993
 15/01/2019;68758;66109;64119;64858;64321;62936;61352;60627;59880;60077;61268;63128;65647;69522;73601;76543;78540;78773;78247;78298;77878;77599;77069;77012;77390;75799;77045;74518;73743;73677;71538;71138;70559;70740;71702;74090;77022;78672;80214;79217;77194;75009;72487;70809;69070;70109;72685;72237
 16/01/2019;70547;68354;66075;66542;65973;64436;62967;62128;61294;61412;62340;64241;66931;70312;73958;76591;78833;79620;79145;79330;78731;78435;77783;77612;77575;76029;77120;74681;73598;73504;71221;70799;70576;70575;71436;73364;76162;77909;79431;78186;76562;74327;72182;70016;68452;69412;71706;70955
 17/01/2019;69366;67238;64975;64980;64296;63102;61590;60813;59639;59694;60684;62393;64612;68639;72324;75691;77607;77373;76921;77458;77026;76603;76566;76713;77003;75893;77178;74731;73616;73515;71528;70917;70618;70212;71243;73465;76338;78085;79820;78598;77088;74633;72927;70866;69528;70673;73079;72334
 18/01/2019;70919;69723;67613;67832;67289;66270;64822;64154;63475;63418;64427;66380;68637;73542;77374;80939;83034;82883;82868;83026;82862;82351;82308;82403;82397;81227;82195;79220;77975;77434;75267;74630;74092;73713;75106;77228;79914;81767;83081;81783;80527;78232;76429;74656;73144;74587;77289;75806
 19/01/2019;74817;71886;69587;70241;69221;67310;65535;64316;63449;62963;62766;63887;64656;66478;67597;69267;70905;71694;72820;73668;74147;73749;73653;73444;74359;73676;74804;71073;69725;68674;66493;65916;65325;65319;66601;68445;71230;73542;75179;74455;73076;71261;69600;68056;67351;68492;71292;71107
 20/01/2019;70189;69022;66819;67554;66928;64928;63036;61900;60725;60250;59692;60597;61086;61848;62282;63561;64954;65339;67028;68532;69958;70538;71254;71056;72878;71828;73642;69804;67973;66994;65369;64443;63757;63805;64931;66921;70373;72604;74537;74324;73271;71590;70298;68854;67591;68315;71186;70981
